num_qubits,depth,entanglement,noise_type,error_rate,x_noisy,x_ideal
8,1,pairwise,amplitude_damping,0.001,-0.025099237669819526,-0.025553680422241067
8,1,pairwise,amplitude_damping,0.01,-0.021275322535216624,-0.025553680422241067
8,1,pairwise,amplitude_damping,0.1,-0.002966091484144257,-0.025553680422241067
8,1,pairwise,readout,0.001,-0.02555368042224107,-0.025553680422241067
8,1,pairwise,readout,0.01,-0.02555368042224107,-0.025553680422241067
8,1,pairwise,readout,0.1,-0.02555368042224107,-0.025553680422241067
8,2,linear,depolarizing,0.001,-0.059918022595156065,-0.06986165492048277
8,2,linear,depolarizing,0.01,-0.014425156328239106,-0.06986165492048277
8,2,linear,depolarizing,0.1,-4.691512368666748e-05,-0.06986165492048277
8,2,linear,amplitude_damping,0.001,-0.06841923799213365,-0.06986165492048277
8,2,linear,amplitude_damping,0.01,-0.05589838411732874,-0.06986165492048277
8,2,linear,amplitude_damping,0.1,-0.0010055040794060683,-0.06986165492048277
8,2,linear,readout,0.001,-0.06986165492048282,-0.06986165492048277
8,2,linear,readout,0.01,-0.06986165492048282,-0.06986165492048277
8,2,linear,readout,0.1,-0.06986165492048282,-0.06986165492048277
8,2,full,depolarizing,0.001,0.10494952272161077,0.18626136473528798
8,2,full,depolarizing,0.01,-0.0006092819097991424,0.18626136473528798
8,2,full,depolarizing,0.1,-4.5870927583985255e-06,0.18626136473528798
8,2,full,amplitude_damping,0.001,0.18027387912463677,0.18626136473528798
8,2,full,amplitude_damping,0.01,0.13388762296919127,0.18626136473528798
8,2,full,amplitude_damping,0.1,0.0048760559490043974,0.18626136473528798
8,2,full,readout,0.001,0.18626136473528793,0.18626136473528798
8,2,full,readout,0.01,0.18626136473528793,0.18626136473528798
8,2,full,readout,0.1,0.18626136473528793,0.18626136473528798
8,2,pairwise,depolarizing,0.001,0.03163381944426055,0.03776218627768378
8,2,pairwise,depolarizing,0.01,0.005981566445502895,0.03776218627768378
8,2,pairwise,depolarizing,0.1,3.512042530349254e-06,0.03776218627768378
8,2,pairwise,amplitude_damping,0.001,0.035917099233662,0.03776218627768378
8,2,pairwise,amplitude_damping,0.01,0.02258716174571733,0.03776218627768378
8,2,pairwise,amplitude_damping,0.1,0.000305849409783713,0.03776218627768378
8,2,pairwise,readout,0.001,0.03776218627768381,0.03776218627768378
8,2,pairwise,readout,0.01,0.03776218627768381,0.03776218627768378
8,2,pairwise,readout,0.1,0.03776218627768381,0.03776218627768378
8,3,linear,depolarizing,0.001,0.045470488443463485,0.0585296616944661
8,3,linear,depolarizing,0.01,0.00436493121630916,0.0585296616944661
8,3,linear,depolarizing,0.1,3.4506923581581125e-06,0.0585296616944661
8,3,linear,amplitude_damping,0.001,0.05617524002303413,0.0585296616944661
8,3,linear,amplitude_damping,0.01,0.03868233847767325,0.0585296616944661
8,3,linear,amplitude_damping,0.1,0.0002086141512503539,0.0585296616944661
8,3,linear,readout,0.001,0.058529661694466016,0.0585296616944661
8,3,linear,readout,0.01,0.058529661694466016,0.0585296616944661
8,3,linear,readout,0.1,0.058529661694466016,0.0585296616944661
8,3,full,depolarizing,0.001,-0.024435456402123353,-0.03138600797529634
